instance,metric,variant_a,variant_b,median_a,median_b,statistic,p_value,cliffs_delta_positive_favors_a,p_value_holm,decision
A-n65-k9,elapsed_time_seconds,baseline-first,baseline-random,0.385019,0.41752,391.0,0.38709977767912396,0.13111111111111112,1.0,no_significativo
A-n65-k9,elapsed_time_seconds,baseline-first,efg-high-best,0.385019,0.7700370000000001,0.0,3.016075319890922e-11,1.0,1.0851065722106123e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-first,efg-high-first,0.385019,0.743536,0.0,3.0179667984904466e-11,1.0,1.0851065722106123e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-first,efg-high-random,0.385019,0.7380355000000001,0.0,3.016075319890922e-11,1.0,1.0851065722106123e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-first,efg-medium-best,0.385019,0.5800295,26.0,3.818029075679278e-10,0.9422222222222222,7.254255243790628e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-first,efg-medium-first,0.385019,0.6285305,2.0,3.685142625153619e-11,0.9955555555555555,1.0851065722106123e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-first,efg-medium-random,0.385019,0.616031,2.0,3.6874335905067576e-11,0.9955555555555555,1.0851065722106123e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-random,efg-high-best,0.41752,0.7700370000000001,1.0,3.334223847982939e-11,0.9977777777777778,1.0851065722106123e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-random,efg-high-first,0.41752,0.743536,0.0,3.0179667984904466e-11,1.0,1.0851065722106123e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-random,efg-high-random,0.41752,0.7380355000000001,0.0,3.016075319890922e-11,1.0,1.0851065722106123e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-random,efg-medium-best,0.41752,0.5800295,27.0,4.197345029530687e-10,0.94,7.555221053155236e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-random,efg-medium-first,0.41752,0.6285305,5.0,4.9690673212403256e-11,0.9888888888888889,1.0931948106728717e-09,significativo
A-n65-k9,elapsed_time_seconds,baseline-random,efg-medium-random,0.41752,0.616031,3.0,4.0746429561605154e-11,0.9933333333333333,1.0851065722106123e-09,significativo
A-n65-k9,elapsed_time_seconds,efg-high-best,efg-high-first,0.7700370000000001,0.743536,539.5,0.1882119762194372,-0.1988888888888889,1.0,no_significativo
A-n65-k9,elapsed_time_seconds,efg-high-best,efg-high-random,0.7700370000000001,0.7380355000000001,508.0,0.3952276141163271,-0.1288888888888889,1.0,no_significativo
A-n65-k9,elapsed_time_seconds,efg-high-best,efg-medium-best,0.7700370000000001,0.5800295,855.0,2.223863422903286e-09,-0.9,3.3357951343549285e-08,significativo
A-n65-k9,elapsed_time_seconds,efg-high-best,efg-medium-first,0.7700370000000001,0.6285305,822.5,3.793857994791756e-08,-0.8277777777777777,4.173243794270931e-07,significativo
A-n65-k9,elapsed_time_seconds,efg-high-best,efg-medium-random,0.7700370000000001,0.616031,834.0,1.4274462693771162e-08,-0.8533333333333334,1.8556801501902511e-07,significativo
A-n65-k9,elapsed_time_seconds,efg-high-first,efg-high-random,0.743536,0.7380355000000001,423.0,0.6951832176080834,0.06,1.0,no_significativo
A-n65-k9,elapsed_time_seconds,efg-high-first,efg-medium-best,0.743536,0.5800295,860.0,1.4095036932412312e-09,-0.9111111111111111,2.396156278510093e-08,significativo
A-n65-k9,elapsed_time_seconds,efg-high-first,efg-medium-first,0.743536,0.6285305,813.5,8.00372317144414e-08,-0.8077777777777778,8.00372317144414e-07,significativo
A-n65-k9,elapsed_time_seconds,efg-high-first,efg-medium-random,0.743536,0.616031,832.0,1.69640776065746e-08,-0.8488888888888889,2.035689312788952e-07,significativo
A-n65-k9,elapsed_time_seconds,efg-high-random,efg-medium-best,0.7380355000000001,0.5800295,879.0,2.3674113667646953e-10,-0.9533333333333334,4.97156387020586e-09,significativo
A-n65-k9,elapsed_time_seconds,efg-high-random,efg-medium-first,0.7380355000000001,0.6285305,851.0,3.1871575131930713e-09,-0.8911111111111111,4.4620205184703e-08,significativo
A-n65-k9,elapsed_time_seconds,efg-high-random,efg-medium-random,0.7380355000000001,0.616031,857.0,1.8538670667066082e-09,-0.9044444444444445,2.966187306730573e-08,significativo
A-n65-k9,elapsed_time_seconds,efg-medium-best,efg-medium-first,0.5800295,0.6285305,295.5,0.02279052258293723,0.3433333333333333,0.20511470324643508,no_significativo
A-n65-k9,elapsed_time_seconds,efg-medium-best,efg-medium-random,0.5800295,0.616031,327.0,0.07010712345402234,0.2733333333333333,0.5608569876321787,no_significativo
A-n65-k9,elapsed_time_seconds,efg-medium-first,efg-medium-random,0.6285305,0.616031,495.0,0.5105685661241732,-0.1,1.0,no_significativo
